dataset,product_title,author,rating,review_headline,review_text,review_date
books_ucsd,Facts And Mysteries In Elementary Particle Physics,Martinus J G Veltman,5,Full color treatment in paperback,Full color treatment in paperback. Very nice presentation of rather tedious material.,51:45.6
books_ucsd,Thirty Years That Shook Physics: The Story of Quantum Theory,George Gamow,5,"Elegant, informative and charming",Lots of information surrounded by personal observations and scientific profiles. Great reading.,08:46.3
books_ucsd,Black Hole Survival Guide: A novel,Janna Levin,5,Charming and Accessible,"This book is for first-time readers, but rather accurate as far as it goes.",16:18.1
books_ucsd,The Basic Laws of Human Stupidity,Carlo Cipolla,1,Do not take seriously,"Cipolla has four categories of transactions between an individual A and others B. Both could benefit, which he call 'intelligent'. If A is harmed but B is helped, A is called 'helpless.' Did Cipolla never hear of altruism?<br />If A is helped an B is harmed, Cipolla calls A a 'bandit.' This is just sloppy. If I take the last spot in a parking lot, having arrived there before B, am I a bandit? Of course not.<br />Cipolla's ire i directed at the case where B is harmed and A is not helped. A is then called 'stupid.' Cipolla makes all sorts of empirical claims about the frequency of 'stupid,' but with no evidence, and he never gives serious examples of 'stupid.' How about this: I am angry with B for some slight, and though I will never see B again, I engage in some costly punishment against B. Am I stupid?",49:44.4
books_ucsd,The Hidden Spring: A Journey to the Sources of Consciousness,Mark Solms,3,Lots of interesting beating around the bush.,"This book is informative of some aspects of modern neuroscience and for that is worth a few stars.<br />For explaining consciousness the book is worth zero.<br />Solms plausibly finds the seat (a seat?) of consciousness in the brain stem, which deals with 'feeling' as opposed to cognition. He claims feeling presupposes consciousness (there is no such thing as unconscious feeling). But this is just  play on words. An unconscious being could have all the physiological attributes of affective response without having a conscious mind. This is perfectly obvious.",59:51.8
books_ucsd,Origins: The Scientific Story of Creation,Jim Baggott,5,Both breadth and depth are superb,Lots of good scientific journalism.,59:50.2
books_ucsd,Concepts of Force,Max Jammer,4,Great historical exposition,"Jammer delves deeply into the scientific contributions of Newton and his predecessors. Very enlightening to someone (like me) who thought that there was a straight line from Kepler and Galileo to Newton.<br />Later chapters are devoted to showing that force is a non-fundamental concept. This is true, but is clear even from the Lagrangian and Hamiltonian formulations of classical physics and the modern treatment of electromagnetism. I found these chapters tedious..",30:57.9
books_ucsd,Metazoa: Animal Life and the Birth of the Mind,Peter Godfrey-Smith,5,Evolution: A Path to Understanding Concsiousness,"In my waking hours, I know for certain that I am conscious and I am poignantly aware of the sights, sounds, and other external events that fill my awareness in a way that is completely determinate yet ineffable and incapable of being shared with others. This experience is not explained in the least by standard physics, chemistry, and biology.<br />I understand the purpose of pain in promoting behavioral changes in the organism, but why do we feel pain? Why is it not simply aversive, as it might be for a robot, a being I create in my computer, or in an organism without a brain?<br />Why do I believe others are conscious, experiencing ineffable things probably in much the same as myself? I do not know why, but it appears to be true. To not believe this is to be insane. But only because we are not zombies. A zombie could believe there is no subjectivity without compromising its behavior in the least.<br />Peter Godfrey-Smith (GS) suggest that if we believe other humans are conscious, then there is good grounds for believing that other living creatures are as well. This is because the belief in the consciousness of others is based on our accepting the other have much the same biology as ourselves, and hence probably have the same feelings as ourselves, and also we see others behaving as though they are experiencing their environment much as we experience ours.<br />But if we share aspects of consciousness with other creatures, and if Darwinian evolution is accurate (it is), then consciousness has an evolutionary dynamic and it must be fitness enhancing.<br />But how?<br />This is the theme GS explores in this wide-ranging review the flora and fauna of our planet. He comes to no specific conclusions, but he wisely explores an number of fruitful directions. So read it and rejoice.",06:01.7
books_ucsd,"Time of the Magicians Wittgenstein, Benjamin, Cassirer, Heidegger, and the Decade That Reinvented Philosophy",Wolfram Eilenberger,1,This is just a lot of gossip about the personal lives of four philosophers.,"This book is chatty and fluffy, but not at all serious.",38:09.5
books_ucsd,Constructing Reality: Quantum Theory and Particle Physics,John Marburger,5,"Serious, thought-provoking yet non-mathematical",The author manages to describe modern quantum field theory meaningfully without using much of the mathematical formulations. This is very useful.,25:51.1
books_ucsd,Statistical Mechanics,Wolfgang Pauli,2,Not a way to lean the subject,"If you already know thermodynamics and statistical mechanics, Pauli provides lots of interesting material. But the text is quite impenetrable otherwise. Get a good textbook to learn these subjects.",28:20.8
books_ucsd,The Recollections Of Eugene P. Wigner As Told To Andrew Szanton,Andrew Szanton,5,A deep and broad thinker who is also a brilliant mathematician/physicist,"There is zero science or mathematics in this charming memoir, but there is plenty of historical interpretation and a good deal of reflection on human nature. You will learn about the Manhattan Project, what happened to Jewish scientists who were persecuted by Hilter, and Wigner's own personal political philosophy. I thoroughly enjoyed this book.",28:30.1
books_ucsd,Something Deeply Hidden Quantum Worlds and the Emergence of Spacetime,Sean Carroll,4,Charming and informative even if you are not a Many Worlds True Believer,"Carroll show that one can carefully explain many aspects of reality---in his case the physics particles and the cosmos---without using any math. The math is important many to make sure that what you say without it is actually correct. It's like when you read the label of ingredients in a food product, they don't tell you how they verified their truth in the lab, but you can usually believe them. Carroll does a very good job of this.<br /><br />Now Carroll has a candidly expressed goal of convincing you of the Many Worlds interpretation of quantum mechanics (QM).  Well, I don't believe it for a moment, but I still liked the books a lot. It's like reading St. Thomas Aquinas or Martin Buber. Or like having a double bourbon at the end of a long day. Somehow...<br /><br />There is not a grain of support for the Many Worlds (MW) interpretation. Not a grain, for or against. It is pure metaphysics to believe or disbelieve. Carroll argues that MW is just taking the Schrodinger equation (SchrE) seriously, without 'collapse.' First of all, this is just false. The  SchrE describes the evolution of a wave equation is Hilbert space. But we live in four dimensional spacetime, not Hilbert space. Attributing 'reality' to the wave equation, and alternative 'worlds' to the entities that are entangled and superimposed in the wave equation is a monster leap of faith for which there is no compelling argument.<br /><br />The major illegitimate assumption of MW is that every physical system has a Hamiltonian. Once you admit that you are gone. The decay of a particle, for instance, can be registered by a macro instrument (or Wigner's friend), and since the latter has a Hamiltonian, the whole system goes into superposition. But why must the instrument have a Hamiltonian? There is no reason in QM.<br /><br />QM assumes the system under study has a Hamiltonian. In many cases, we can find the Hamiltonian and show that the Schrodinger equation predicts. But there is no formula for finding the Hamiltonian of a system. Does my computer have a Hamiltonian? I doubt it. No one has ever found such a thing.<br /><br />QM seems to work universally because whenever we can find a plausible Hamiltonian, it works. But we mostly can't eve come close to finding a Hamiltonian for a complex system. We can create fake cardboard Hamiltonians by. say, representing the NY State lottery as a mechanism with a million integer outcomes. But that is not the NY State Lottery.<br /><br />There really is a classical world. We all live in it. There really is also a quantum world. How they fit together is one of the great mysteries of modern thought. We just don't know, and theologies like the Many Worlds approach impede our progress towards a real understanding.",32:43.7
